continent,location,total_cases,total_deaths,fully_vaccinated,population,gdp_per_capita,cases_per_million,deaths_per_million,fully_vaccinated_per_million
"North America",Nicaragua,15145,246,272538650,6850540,5321.444,2210.7746,35.9096,39783528.0139
Africa,Niger,9419,314,37727951,25252722,926,372.9895,12.4343,1494015.2194
Africa,Nigeria,266073,3160,583478412,213401323,5338.454,1246.8198,14.8078,2734183.6676
Europe,"North Macedonia",343874,9560,67265098,2103330,13111.214,163490.2749,4545.1736,31980287.4489
Europe,Norway,1463998,3846,1830343616,5403021,64800.057,270959.1541,711.8240,338763002.4018
Asia,Oman,398660,4260,89781040,4520471,37960.709,88189.9253,942.3797,19860992.3612
Asia,Pakistan,1572778,30619,25128077845,231402116,5034.708,6796.7313,132.3194,108590527.5170
Oceania,Palau,5490,7,NULL,18024,13240.405,304593.8748,388.3711,NULL
Asia,Palestine,702804,5707,51347577,5133392,4449.898,136908.3055,1111.7405,10002660.4241
"North America",Panama,989005,8506,190969796,4351267,22267.037,227291.2694,1954.8329,43888319.4251
Oceania,"Papua New Guinea",45344,668,8258133,9949437,3823.194,4557.4438,67.1395,830010.0800
"South America",Paraguay,717628,19598,197571689,6703799,8827.01,107047.9589,2923.4170,29471600.9534
"South America",Peru,4154962,217613,10225775597,33715472,12236.706,123236.0621,6454.3958,303296231.3860
Asia,Philippines,3995279,63787,5728757250,113880328,7599.188,35083.1357,560.1231,50305064.5411
Europe,Poland,6334887,118029,9344490583,38307726,27216.445,165368.3907,3081.0756,243932270.5556
Europe,Portugal,5509585,25128,585376129,10290103,27936.896,535425.6415,2441.9581,56887295.3944
"North America","Puerto Rico",NULL,NULL,NULL,3256028,35044.67,NULL,NULL,NULL
Asia,Qatar,465616,684,243555694,2688235,116935.6,173205.0955,254.4420,90600596.3020
Europe,Romania,3283353,67163,2675533349,19328560,23313.199,169870.5439,3474.8062,138423832.3496
Europe,Russia,21068678,381670,18260828719,145102755,24765.954,145198.3320,2630.3429,125847567.2567
Africa,Rwanda,132559,1467,202986254,13461888,1854.211,9846.9843,108.9743,15078587.3423
"North America","Saint Kitts and Nevis",6548,46,1312952,47606,24654.385,137545.6875,966.2648,27579548.7964
"North America","Saint Lucia",29550,405,7292138,179652,12951.839,164484.6704,2254.3584,40590352.4592
"North America","Saint Vincent and the Grenadines",10996,116,2467297,104332,10727.146,105394.3181,1111.8353,23648516.2750
Oceania,Samoa,15946,29,3925183,218764,6021.557,72891.3350,132.5629,17942545.3914
Europe,"San Marino",21452,119,834445,33746,56861.47,635690.1559,3526.3439,24727226.9306
Africa,"Sao Tome and Principe",6266,81,1763810,223107,3052.714,28085.1789,363.0545,7905668.5805
Asia,"Saudi Arabia",820334,9393,4293414551,35950396,49045.411,22818.4969,261.2767,119426071.1621
Africa,Senegal,88630,1993,30196715,16876720,2470.58,5251.6129,118.0917,1789252.5917
Europe,Serbia,2396512,17189,501979426,6871547,14048.881,348758.7293,2501.4746,73051879.8751
Africa,Seychelles,47146,170,4513938,106470,26382.287,442810.1813,1596.6939,42396336.9963
Africa,"Sierra Leone",7752,126,30630394,8420641,1390.3,920.5950,14.9632,3637537.0949
Asia,Singapore,2064163,1662,2356428612,5453600,85535.383,378495.4892,304.7528,432086807.2466
